dataset,treatment,propensity_score
simulation,1,0.5220235778358076
simulation,0,0.1940727858646124
simulation,1,0.5555738493609345
simulation,1,0.6138925324373801
simulation,0,0.11551293357670674
simulation,0,0.17751893495760782
simulation,1,0.4858115516114378
simulation,0,0.32692142985985906
simulation,0,0.4601422637726912
simulation,0,0.21689066494466563
simulation,1,0.6219418392512089
simulation,1,0.6286013901821366
simulation,1,0.4419258347575562
simulation,1,0.6795618768852931
simulation,1,0.6287573320560108
simulation,1,0.26607183690627795
simulation,1,0.5104974961206703
simulation,1,0.310268028039706
simulation,1,0.6786354321239845
simulation,0,0.48648575259200916
simulation,0,0.4228648066535844
simulation,0,0.26955315650035033
simulation,1,0.7426697401763444
simulation,1,0.3874522051766897
simulation,0,0.310073870428492
simulation,1,0.39209098998329234
simulation,1,0.5730682109575618
simulation,1,0.5982318744578602
simulation,1,0.539102792715961
simulation,0,0.5673401938203565
simulation,1,0.8569871177302562
simulation,1,0.34044113702546025
simulation,0,0.31748482218005
simulation,1,0.24252891300028423
simulation,0,0.5804072163715035
simulation,1,0.7826382226552517
simulation,1,0.3841478729448987
simulation,0,0.25682298337878345
simulation,1,0.3209848308197755
simulation,1,0.5914608616976175
simulation,1,0.6064707047408288
simulation,0,0.5134997579412366
simulation,0,0.23250853256132964
simulation,1,0.4617899029342459
simulation,1,0.39816388032912475
simulation,1,0.4231297647031534
simulation,1,0.6005565116254009
simulation,1,0.47852457176784646
simulation,0,0.5943138623161864
simulation,1,0.43727070922486344
simulation,0,0.5142439077586411
simulation,1,0.5750379520126759
simulation,1,0.17780393790713067
simulation,0,0.49679149569628744
simulation,0,0.3220594322474409
simulation,1,0.34048115035387916
simulation,1,0.40368759833750983
simulation,0,0.7967764406370232
simulation,0,0.2833901197622368
simulation,1,0.6774373154787394
simulation,0,0.15373758673304955
simulation,1,0.3149103591843953
simulation,0,0.5355934523765075
simulation,0,0.6389231746120467
simulation,1,0.6157029763908801
simulation,1,0.5670727918996123
simulation,1,0.3339663206535033
simulation,1,0.3241899321507021
simulation,1,0.6550483088910423
simulation,0,0.365296861404339
simulation,0,0.20290480813878267
simulation,0,0.24690046780286085
simulation,1,0.22610880728392382
simulation,1,0.5946114129139429
simulation,0,0.5976558886744371
simulation,0,0.7274916406798171
simulation,1,0.34089535615794025
simulation,1,0.49115468755520025
simulation,0,0.6142148890381267
simulation,0,0.3193933972510928
simulation,1,0.5044484895272296
simulation,1,0.3209474033611035
simulation,0,0.39258953969895377
simulation,1,0.2563113967082203
simulation,0,0.1996281711869691
simulation,0,0.5364588727096745
simulation,0,0.3581599894858405
simulation,0,0.40344859283467494
simulation,0,0.5654380289995448
simulation,0,0.531877322324013
simulation,0,0.6310808255696659
simulation,0,0.49980484997265284
simulation,0,0.33777913218248273
simulation,0,0.5028476749306465
simulation,0,0.13015513935173056
simulation,0,0.1568386395585999
simulation,0,0.17020000968873827
simulation,0,0.18450128916839556
simulation,1,0.5840107079922904
simulation,1,0.20992418299244447
simulation,1,0.3565110156534074
simulation,1,0.7239016159658023
simulation,1,0.36380636056937615
simulation,0,0.6131330642156397
simulation,0,0.2289700363774034
simulation,1,0.38436452817629446
simulation,1,0.2038602444673183
simulation,1,0.33096159899751726
simulation,1,0.6375230909457887
simulation,0,0.11716521905421032
simulation,0,0.5943552317250865
simulation,1,0.39536907325152765
simulation,0,0.3455111345622022
simulation,0,0.12312582221576496
simulation,1,0.404761417924554
simulation,0,0.33366778551674164
simulation,1,0.46925514271942237
simulation,0,0.5286537970320169
simulation,1,0.7658567840599366
simulation,0,0.3234514881370855
simulation,1,0.2568345145679801
simulation,1,0.4705998439882968
simulation,0,0.5284917206407688
simulation,1,0.7583215199515627
simulation,0,0.6367880564072568
simulation,0,0.6323827859184479
simulation,1,0.7876213044109905
