dataset,method,mean_estimated_ate,true_ate,bias,absolute_bias,variance,rmse,mean_relative_error_pct
semi_synthetic,OLS,0.09363140758401486,0.03654100099271214,0.05709040659130266,0.05709040659130266,1.120889167305059e-05,0.05717485741452936,156.23304637687377
semi_synthetic,IPW,0.09382166056488841,0.03654100099271214,0.057280659572176214,0.057280659572176214,1.1349286395288088e-05,0.05736614977820266,156.7547897429792
semi_synthetic,Causal Forest,0.09555886714985408,0.03654100099271214,0.059017866157141864,0.059017866157141864,8.040274453589144e-06,0.05907617094603824,161.50820617664294
semi_synthetic,DML,0.09765910305604356,0.03654100099271214,0.06111810206333132,0.06111810206333132,4.396120586751638e-06,0.06114855993509156,167.25690987518132
semi_synthetic,Naive,0.11145285850711448,0.03654100099271214,0.0749118575144023,0.0749118575144023,2.0592291688391477e-05,0.07503610447416316,205.03369016560012
simulation,OLS,0.040060461976429186,0.03399072748111636,0.006069734495312737,0.006069734495312737,9.275867454114355e-06,0.0067026264794879395,17.855732945049922
simulation,Causal Forest,0.041321927182470665,0.03399072748111636,0.007331199701354238,0.007331199701354238,6.729641563885943e-06,0.007722997811473326,21.568792981716093
simulation,IPW,0.04201290730670437,0.03399072748111636,0.008022179825587925,0.008022179825587925,2.1691216045430294e-05,0.009126646167677251,23.599506438803285
simulation,DML,0.04391514464825967,0.03399072748111636,0.009924417167143238,0.009924417167143238,1.0857888811504217e-05,0.010389959784724867,29.19569301184974
simulation,Naive,0.17091456466468957,0.03399072748111636,0.13692383718357315,0.13692383718357315,2.4064310389384993e-05,0.1370009251687336,402.83046138365563
